date,description,amount,category
2024-01-02,Kroger,-82.47,Groceries
2024-01-03,Netflix,-15.99,Subscriptions
2024-01-04,Shell Gas Station,-54.20,Gas
2024-01-05,Chipotle,-13.85,Dining
2024-01-07,Amazon,-34.99,Shopping
2024-01-08,Spotify,-9.99,Subscriptions
2024-01-09,Walgreens,-22.10,Health
2024-01-10,Chipotle,-12.50,Dining
2024-01-11,AT&T,-85.00,Utilities
2024-01-12,Kroger,-91.33,Groceries
2024-01-14,Uber,-18.75,Transportation
2024-01-15,Direct Deposit,3200.00,Income
2024-01-16,Starbucks,-7.45,Dining
2024-01-17,Amazon,-67.23,Shopping
2024-01-18,Shell Gas Station,-51.80,Gas
2024-01-19,Publix,-45.62,Groceries
2024-01-20,Hulu,-17.99,Subscriptions
2024-01-21,Cheesecake Factory,-58.40,Dining
2024-01-22,CVS,-14.99,Health
2024-01-23,Lyft,-22.30,Transportation
2024-01-24,Whole Foods,-103.17,Groceries
2024-01-25,Apple iCloud,-2.99,Subscriptions
2024-01-26,Starbucks,-6.85,Dining
2024-01-27,Amazon,-29.99,Shopping
2024-01-28,Nashville Electric,-110.00,Utilities
2024-01-29,Shell Gas Station,-48.90,Gas
2024-01-30,Kroger,-77.54,Groceries
2024-01-31,Venmo Transfer,-50.00,Transfer
2024-02-01,Chipotle,-11.75,Dining
2024-02-02,Amazon,-19.99,Shopping
2024-02-03,Spotify,-9.99,Subscriptions
2024-02-04,Walgreens,-31.45,Health
2024-02-05,Kroger,-88.20,Groceries
2024-02-06,Uber,-14.50,Transportation
2024-02-07,Starbucks,-8.15,Dining
2024-02-08,Shell Gas Station,-55.60,Gas
2024-02-09,Netflix,-15.99,Subscriptions
2024-02-10,Publix,-52.34,Groceries
2024-02-11,AT&T,-85.00,Utilities
2024-02-12,Amazon,-44.99,Shopping
2024-02-13,Cheesecake Factory,-72.80,Dining
2024-02-14,CVS,-18.75,Health
2024-02-15,Direct Deposit,3200.00,Income
2024-02-16,Lyft,-19.40,Transportation
2024-02-17,Whole Foods,-95.88,Groceries
2024-02-18,Hulu,-17.99,Subscriptions
2024-02-19,Apple iCloud,-2.99,Subscriptions
2024-02-20,Starbucks,-7.25,Dining
2024-02-21,Nashville Electric,-98.00,Utilities
2024-02-22,Amazon,-55.00,Shopping
2024-02-23,Shell Gas Station,-50.10,Gas
2024-02-24,Kroger,-69.77,Groceries
2024-02-25,Venmo Transfer,-25.00,Transfer
2024-02-26,Chipotle,-13.25,Dining
2024-02-27,Amazon,-22.49,Shopping
2024-02-28,Walgreens,-9.99,Health
2024-03-01,Kroger,-94.11,Groceries
2024-03-02,Netflix,-15.99,Subscriptions
2024-03-03,Shell Gas Station,-58.40,Gas
2024-03-04,Chipotle,-14.50,Dining
2024-03-05,Amazon,-42.00,Shopping
2024-03-06,Spotify,-9.99,Subscriptions
2024-03-07,Walgreens,-27.80,Health
2024-03-08,Chipotle,-11.25,Dining
2024-03-09,AT&T,-85.00,Utilities
2024-03-10,Kroger,-78.55,Groceries
2024-03-11,Uber,-21.00,Transportation
2024-03-12,Starbucks,-9.10,Dining
2024-03-13,Amazon,-31.49,Shopping
2024-03-14,Shell Gas Station,-53.20,Gas
2024-03-15,Direct Deposit,3200.00,Income
2024-03-16,Publix,-61.33,Groceries
2024-03-17,Hulu,-17.99,Subscriptions
2024-03-18,Cheesecake Factory,-65.00,Dining
2024-03-19,CVS,-12.49,Health
2024-03-20,Lyft,-16.80,Transportation
2024-03-21,Whole Foods,-110.22,Groceries
2024-03-22,Apple iCloud,-2.99,Subscriptions
2024-03-23,Starbucks,-7.75,Dining
2024-03-24,Amazon,-58.99,Shopping
2024-03-25,Nashville Electric,-104.00,Utilities
2024-03-26,Shell Gas Station,-49.70,Gas
2024-03-27,Kroger,-83.40,Groceries
2024-03-28,Venmo Transfer,-40.00,Transfer
2024-03-29,Chipotle,-12.00,Dining
2024-03-30,Amazon,-18.99,Shopping
2024-03-31,Walgreens,-15.50,Health
2024-04-01,Kroger,-79.88,Groceries
2024-04-02,Netflix,-15.99,Subscriptions
2024-04-03,Shell Gas Station,-61.00,Gas
2024-04-04,Chipotle,-15.25,Dining
2024-04-05,Amazon,-38.49,Shopping
2024-04-06,Spotify,-9.99,Subscriptions
2024-04-07,Walgreens,-19.60,Health
2024-04-08,Chipotle,-13.00,Dining
2024-04-09,AT&T,-85.00,Utilities
2024-04-10,Kroger,-96.44,Groceries
2024-04-11,Uber,-17.25,Transportation
2024-04-12,Starbucks,-8.50,Dining
2024-04-13,Amazon,-24.99,Shopping
2024-04-14,Shell Gas Station,-57.30,Gas
2024-04-15,Direct Deposit,3200.00,Income
2024-04-16,Publix,-55.10,Groceries
2024-04-17,Hulu,-17.99,Subscriptions
2024-04-18,Texas Roadhouse,-74.50,Dining
2024-04-19,CVS,-22.30,Health
2024-04-20,Lyft,-14.60,Transportation
2024-04-21,Whole Foods,-98.77,Groceries
2024-04-22,Apple iCloud,-2.99,Subscriptions
2024-04-23,Starbucks,-6.95,Dining
2024-04-24,Amazon,-45.00,Shopping
2024-04-25,Nashville Electric,-115.00,Utilities
2024-04-26,Shell Gas Station,-52.80,Gas
2024-04-27,Kroger,-71.22,Groceries
2024-04-28,Venmo Transfer,-30.00,Transfer
2024-04-29,Chipotle,-11.50,Dining
2024-04-30,Amazon,-33.99,Shopping
2024-05-01,Walgreens,-14.75,Health
2024-05-02,Kroger,-87.33,Groceries
2024-05-03,Netflix,-15.99,Subscriptions
2024-05-04,Shell Gas Station,-59.20,Gas
2024-05-05,Chipotle,-16.00,Dining
2024-05-06,Amazon,-52.49,Shopping
2024-05-07,Spotify,-9.99,Subscriptions
2024-05-08,Walgreens,-28.90,Health
2024-05-09,AT&T,-85.00,Utilities
2024-05-10,Kroger,-102.15,Groceries
2024-05-11,Uber,-23.50,Transportation
2024-05-12,Starbucks,-9.25,Dining
2024-05-13,Amazon,-19.99,Shopping
2024-05-14,Shell Gas Station,-54.60,Gas
2024-05-15,Direct Deposit,3400.00,Income
2024-05-16,Publix,-63.88,Groceries
2024-05-17,Hulu,-17.99,Subscriptions
2024-05-18,Cheesecake Factory,-89.20,Dining
2024-05-19,CVS,-11.99,Health
2024-05-20,Lyft,-20.10,Transportation
2024-05-21,Whole Foods,-115.44,Groceries
2024-05-22,Apple iCloud,-2.99,Subscriptions
2024-05-23,Starbucks,-8.75,Dining
2024-05-24,Amazon,-67.00,Shopping
2024-05-25,Nashville Electric,-121.00,Utilities
2024-05-26,Shell Gas Station,-56.40,Gas
2024-05-27,Kroger,-80.11,Groceries
2024-05-28,Venmo Transfer,-60.00,Transfer
2024-05-29,Chipotle,-14.75,Dining
2024-05-30,Amazon,-28.49,Shopping
2024-05-31,Walgreens,-22.00,Health
2024-06-01,Kroger,-91.60,Groceries
2024-06-02,Netflix,-15.99,Subscriptions
2024-06-03,Shell Gas Station,-63.80,Gas
2024-06-04,Chipotle,-17.50,Dining
2024-06-05,Amazon,-44.99,Shopping
2024-06-06,Spotify,-9.99,Subscriptions
2024-06-07,Walgreens,-16.40,Health
2024-06-08,Chipotle,-13.75,Dining
2024-06-09,AT&T,-85.00,Utilities
2024-06-10,Kroger,-88.25,Groceries
2024-06-11,Uber,-19.80,Transportation
2024-06-12,Starbucks,-10.50,Dining
2024-06-13,Amazon,-36.99,Shopping
2024-06-14,Shell Gas Station,-60.10,Gas
2024-06-15,Direct Deposit,3400.00,Income
2024-06-16,Publix,-70.22,Groceries
2024-06-17,Hulu,-17.99,Subscriptions
2024-06-18,Texas Roadhouse,-95.00,Dining
2024-06-19,CVS,-25.50,Health
2024-06-20,Lyft,-17.30,Transportation
2024-06-21,Whole Foods,-122.88,Groceries
2024-06-22,Apple iCloud,-2.99,Subscriptions
